conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
TAFFC2022,,A Bayesian Deep Learning Framework for End-To-End Prediction of Emotion From Heartbeat.,,,,"Ross Harper,Joshua Southern",
TAFFC2023,,Estimating Affective Taste Experience Using Combined Implicit Behavioral and Neurophysiological Measures.,,,,"Anne-Marie Brouwer,Tim J. van den Broek,Maarten A. Hogervorst,Daisuke Kaneko,Alexander Toet,Victor L. Kallen,Jan B. F. van Erp",
TAFFC2022,,Multi-Task Semi-Supervised Adversarial Autoencoding for Speech Emotion Recognition.,,,,"Siddique Latif,Rajib Rana,Sara Khalifa,Raja Jurdak,Julien Epps,Björn W. Schuller",
TAFFC2022,,BReG-NeXt: Facial Affect Computing Using Adaptive Residual Networks With Bounded Gradient.,,,,"Behzad Hassani,Pooran Singh Negi,Mohammad H. Mahoor",
TAFFC2023,,Facial Expression Animation by Landmark Guided Residual Module.,,,,"Xueping Wang,Yunhong Wang,Weixin Li,Zhengyin Du,Di Huang",
TAFFC2023,,Investigating Multisensory Integration in Emotion Recognition Through Bio-Inspired Computational Models.,,,,"Esma Mansouri-Benssassi,Juan Ye",
TAFFC2022,,Facial Expression Recognition With Deeply-Supervised Attention Network.,,,,"Yingruo Fan,Victor O. K. Li,Jacqueline C. K. Lam",
TAFFC2023,,Exploring Complexity of Facial Dynamics in Autism Spectrum Disorder.,,,,"Pradeep Raj Krishnappa Babu,J. Matías Di Martino,Zhuoqing Chang,Sam Perochon,Kimberly L. H. Carpenter,Scott Compton,Steven Espinosa,Geraldine Dawson,Guillermo Sapiro",
TAFFC2022,,Modeling Feature Representations for Affective Speech Using Generative Adversarial Networks.,,,,"Saurabh Sahu,Rahul Gupta,Carol Y. Espy-Wilson",
TAFFC2023,,EEG-Based Emotion Recognition via Neural Architecture Search.,,,,"Chang Li,Zhongzhen Zhang,Rencheng Song,Juan Cheng,Yu Liu,Xun Chen",
TAFFC2022,,Unconstrained Facial Action Unit Detection via Latent Feature Domain.,,,,"Zhiwen Shao,Jianfei Cai,Tat-Jen Cham,Xuequan Lu,Lizhuang Ma",
TAFFC2022,,A Multi-Componential Approach to Emotion Recognition and the Effect of Personality.,,,,"Gelareh Mohammadi,Patrik Vuilleumier",
